date,away_team,home_team,away_score,home_score,away_ml,home_ml,open_spread,close_spread,open_total,close_total,season
2007-09-06,NewOrleans,Indianapolis,10,41,200,-240,5.5,5.5,50.5,52.5,2007-08
2007-09-09,KansasCity,HoustonTexans,3,20,170,-200,0.0,3.0,38.5,37.5,2007-08
2007-09-09,Denver,Buffalo,15,14,-170,150,3.0,3.0,37.0,38.5,2007-08
2007-09-09,Pittsburgh,Cleveland,34,7,-235,195,4.5,5.0,37.5,36.0,2007-08
2007-09-09,Tennessee,Jacksonville,13,10,290,-350,6.5,7.5,37.5,39.5,2007-08
2007-09-09,Carolina,St.Louis,27,13,105,-125,1.0,2.5,43.0,43.0,2007-08
2007-09-09,Philadelphia,GreenBay,13,16,-190,160,3.0,3.0,43.0,41.5,2007-08
2007-09-09,Atlanta,Minnesota,3,24,150,-170,2.5,3.0,36.0,34.0,2007-08
2007-09-09,Miami,Washington,13,16,155,-175,3.0,3.0,36.0,34.0,2007-08
2007-09-09,NewEngland,NYJets,38,14,-260,220,6.5,6.0,40.5,41.5,2007-08
2007-09-09,TampaBay,Seattle,6,20,235,-275,6.0,6.0,41.0,41.0,2007-08
2007-09-09,Chicago,SanDiego,3,14,275,-325,6.5,7.0,43.0,43.0,2007-08
2007-09-09,Detroit,Oakland,36,21,140,-160,2.5,2.5,39.0,39.5,2007-08
2007-09-09,NYGiants,Dallas,35,45,230,-270,4.0,6.5,44.0,43.5,2007-08
2007-09-10,Baltimore,Cincinnati,20,27,125,-145,3.0,3.0,40.0,40.0,2007-08
2007-09-10,Arizona,SanFrancisco,17,20,170,-200,3.0,3.5,47.0,47.0,2007-08
2007-09-16,Buffalo,Pittsburgh,3,26,400,-500,7.5,10.0,37.0,40.0,2007-08
2007-09-16,Cincinnati,Cleveland,45,51,-335,285,6.0,7.0,41.5,41.5,2007-08
2007-09-16,Indianapolis,Tennessee,22,20,-315,265,7.0,6.5,47.0,45.0,2007-08
2007-09-16,HoustonTexans,Carolina,34,21,240,-290,6.0,6.5,37.5,38.0,2007-08
2007-09-16,SanFrancisco,St.Louis,17,16,140,-160,3.0,3.0,45.0,44.0,2007-08
2007-09-16,GreenBay,NYGiants,35,13,135,-155,1.5,3.0,38.0,39.5,2007-08
2007-09-16,Atlanta,Jacksonville,7,13,425,-525,10.0,10.0,35.0,34.5,2007-08
2007-09-16,NewOrleans,TampaBay,14,31,-260,220,3.0,5.5,42.0,41.0,2007-08
2007-09-16,Minnesota,Detroit,17,20,155,-175,3.5,3.0,40.0,43.5,2007-08
2007-09-16,Dallas,Miami,37,20,-175,155,4.0,3.0,39.0,39.0,2007-08
